"","trip","real","normal","normal_F","normal_5","normal_95","t","frequency"
"1",23,923,1114.78024048213,1097.80734697555,930.275793444579,969.017684290421,489.542152420284,320.823273779469
"2",35,938,1177.03647159105,1285.86528875868,1106.15384024718,1023.819553712,22589.231301762,1532.9222005947
"3",38,799,895.732452470014,960.385445325778,854.705705366349,1282.63254970644,4117.92712530196,1726.78620305528
"4",41,1021.07500004768,1288.14347484315,1212.9479777488,1126.10069592532,1109.96890606888,2125.83024123262,637.575806948262
"5",51,951,1034.85267666822,1416.35014446864,822.690507925281,1178.24046329931,2508.96708097618,355.417444713011
"6",57,913.34299993515,764.264510315008,837.914145552502,1072.41404092936,736.11113216502,1282.68520070327,1919.50945744793
"7",68,798.976999998093,1017.53937039432,885.120030314065,894.467659305214,761.156939969095,444.518783730783,1145.37666156083
"8",80,1727,1810.59494973785,1860.6001236314,2035.65954662118,1976.85113067783,4580.58999606042,1197.83854730177
"9",86,349,257.273067273128,444.626497545892,210.280453501676,608.609558108837,4555.0738286428,1667.30536144429
"10",87,1169,996.183301310831,1361.39479222061,1186.529214423,1422.93877209798,1375.5316526551,1027.5404197563
"11",95,753.996000051498,823.371913973324,880.222202376845,828.387754844327,796.595468333304,1119.693116959,2171.66899590943
"12",111,1598.9960000515,1693.7587296473,2067.98262534936,1748.11996906612,1318.27368983014,2253.17164628619,1574.17519200107
"13",118,1760.0150001049,1539.04477030288,1429.85771702833,1620.98117130491,1771.99872536177,1707.44124497252,1923.89824100964
"14",120,1859,2044.92235156493,1995.23016560502,1984.92150902388,2553.55132987351,8531.387099858,758.923227433955
"15",131,1213,1622.35879531326,1904.84173880665,1848.99872726198,1580.44320266137,1237.68724053882,913.055165421595
"16",133,880,917.680863566868,1041.3246837697,1051.56520431164,1244.5968956767,2386.09740570338,1583.91930563233
"17",137,1912.90100002289,2081.81123923087,2532.60966801107,2385.72984396007,2749.65536021856,2197.03097469554,1211.23908181668
"18",138,967.905999898911,1447.11782160864,1206.1950056874,1198.80511257475,1280.74181616606,77.8649644237435,2078.82143172639
